CHA(mV)  probe:X1,CHB(V)  probe:X1,sampling rate : 10000
 33,1.51
 33,-2.42
 33,-2.42
 33,-2.42
 33,2.51
 33,2.44
 72,2.51
 72,2.51
 33,-1.49
 72,-1.57
 33,-1.57
 72,-1.57
 72,-1.49
 33,-1.57
 33,-1.34
 33,-1.34
 33,3.28
 72,3.44
 33,3.28
 33,3.36
 72,3.36
 33,3.36
 33,3.36
 33,3.36
 33,3.36
 33,3.36
 33,3.28
 33,3.36
 33,3.36
 33,3.36
 33,3.36
 72,3.36
 33,-2.18
 33,-2.18
 33,-1.34
 33,-1.26
 72,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 72,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 33,-1.72
 33,-1.72
 33,-0.88
 72,-0.88
 33,-0.88
 33,-0.95
 33,1.67
 33,1.67
 33,1.67
 33,-1.80
 33,-1.80
 33,-1.72
 33,-0.88
 33,-0.88
 72,-0.88
 33,1.67
 33,1.67
 33,1.74
 33,1.67
 72,-2.18
 33,-2.18
 72,-1.11
 72,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 72,-1.18
 33,-1.18
 72,-1.11
 33,-1.95
 72,-1.95
 33,-2.65
 33,-2.57
 72,-2.57
 72,-2.57
 33,-2.57
 33,-2.57
 33,-1.57
 72,-1.49
 72,-1.57
 72,-1.57
 33,-1.57
 72,-1.49
 33,-1.95
 33,-1.95
 33,-2.57
 72,-2.57
 72,-2.57
 33,-2.57
 72,-2.57
 72,-2.57
 33,-2.57
 33,-2.57
 33,-2.57
 33,-2.57
 33,-2.57
 33,-2.57
 33,-1.49
 33,-1.57
 72,-1.49
 33,-1.57
 33,-1.57
 33,-1.49
 33,-1.49
 72,-1.49
 33,-1.49
 72,1.90
 33,1.90
 33,-2.34
 72,-2.42
 33,-2.34
 72,1.20
 33,1.28
 33,1.20
 33,-2.34
 33,-2.42
 33,-2.42
 33,-2.34
 33,0.82
 33,0.82
 33,-0.88
 33,-0.88
 33,-0.88
 33,2.90
 72,2.90
 72,2.97
 72,2.90
 33,2.90
 33,2.97
 33,2.90
 33,2.90
 72,-2.18
 33,-2.18
 33,-1.11
 72,-1.11
 33,-1.11
 33,-1.03
 33,-1.11
 33,-1.11
 72,-1.11
 33,-1.11
 72,-2.42
 33,-2.34
 33,-2.42
 72,0.82
 33,0.82
 33,0.74
 72,-1.34
 33,-1.34
 33,3.36
 72,3.36
 33,3.28
 72,3.36
 33,3.36
 33,3.36
 33,3.36
 72,3.36
 33,3.36
 33,3.36
 33,3.36
 33,3.36
 33,3.44
 33,3.36
 33,3.36
 33,3.28
 33,-1.95
 72,-1.95
 33,-1.95
 33,0.13
 33,0.20
 33,0.20
 33,-2.80
 33,-2.80
 33,-2.72
 33,-2.80
 72,-1.57
 33,-1.57
 33,-1.57
 33,-1.57
 72,-1.57
 33,-1.57
 33,-2.42
 72,-2.42
 72,-2.42
 72,-2.42
 72,2.28
 33,2.20
 33,2.28
 33,2.28
 33,2.20
 33,0.82
 33,0.82
 33,-2.42
 33,-2.42
 33,-2.42
 72,2.67
 33,2.67
 72,2.67
 33,-1.72
 33,-1.72
 33,-1.72
 33,-2.42
 72,-2.42
 33,-2.42
 33,1.90
 33,1.90
 33,1.90
 33,1.82
 33,1.90
 33,2.44
 72,2.44
 33,2.44
 33,2.51
 33,-1.49
 33,-1.57
 72,-1.49
 33,-1.57
 33,-1.57
 33,-1.57
 33,-1.57
 33,-1.57
 33,2.28
 33,2.28
 33,2.36
 33,2.28
 33,2.28
 72,1.90
 33,1.82
 33,-1.95
 72,-1.95
 33,-1.95
 33,1.05
 33,0.97
 33,0.97
 33,-0.88
 72,-0.88
 33,-0.88
 33,-0.88
 33,1.67
 33,1.74
 33,1.59
 72,-1.72
 33,-1.72
 33,-1.72
 33,-0.88
 72,-0.88
 33,-0.88
 33,2.67
 33,2.67
 72,2.67
 33,2.67
 33,-1.80
 33,-1.72
 72,-2.49
 33,-2.42
 72,-2.42
 33,-2.42
 33,2.13
 33,2.13
 33,2.05
 33,2.05
 33,2.05
 33,0.59
 33,0.59
 33,-1.49
 33,-1.49
 33,-1.49
 33,-1.57
 33,-1.57
 33,-1.49
 33,-2.42
 33,-2.42
 33,-2.42
 33,-2.42
 33,1.05
 33,1.05
 33,0.97
 33,-1.34
 33,-1.34
 33,-1.26
 72,-1.34
 72,3.36
 33,3.28
 33,3.36
 33,3.36
 33,3.36
 33,3.44
 33,3.36
 72,3.36
 72,3.36
 33,3.36
 72,3.28
 33,3.36
 72,3.36
 72,3.36
 33,-1.72
 33,-1.80
 33,-1.80
 33,-2.42
 33,-2.34
 72,-2.42
 33,2.44
 33,2.51
 33,2.51
 33,2.44
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.95
 72,-1.95
 72,-1.95
 33,-1.49
 33,-1.57
 72,-1.57
 33,-1.49
 33,-1.57
 72,-1.57
 33,-1.95
 33,-1.95
 33,0.97
 72,0.97
 33,0.97
 33,1.05
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-2.42
 72,-2.42
 72,-2.42
 33,0.82
 33,0.82
 33,0.82
 33,-0.95
 33,-0.88
 33,2.90
 33,2.90
 33,2.90
 33,2.90
 72,2.97
 33,2.90
 72,2.97
 33,2.90
 72,2.97
 72,-2.18
 33,-2.18
 72,-1.11
 72,-1.11
 72,-1.03
 72,-1.11
 33,-1.18
 33,-1.11
 33,-1.11
 33,-1.26
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.95
 33,-1.95
 33,-1.95
 33,0.28
 33,0.36
 33,0.36
 72,-1.11
 72,-1.11
 72,-1.11
 72,-1.03
 72,-1.03
 33,-1.11
 33,-1.72
 33,-1.72
 72,-0.95
 33,-0.88
 33,-0.88
 72,-0.88
 72,1.67
 72,1.67
 33,1.74
 33,-1.72
 72,-1.72
 72,-1.72
 72,-0.88
 33,-0.95
 72,-0.88
 33,1.43
 72,1.51
 33,1.51
 72,1.43
 33,-2.42
 33,-2.42
 33,-2.34
 33,-2.42
 72,2.44
 72,2.51
 33,2.44
 72,-1.03
 33,-1.11
 33,-1.11
 33,-1.11
 72,-1.11
 33,-1.11
 72,-1.11
 33,-2.11
 33,-2.18
 72,-2.18
 33,-1.18
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 33,-1.11
 72,-1.11
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 72,-1.26
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 33,-1.34
 72,-1.34
 33,-2.18
 33,-2.18
 72,-1.11
 33,-1.11
 72,-1.03
 33,-1.18
 33,-1.11
 33,-1.11
 72,-1.11
 33,-1.95
 72,-1.95
 33,-1.95
 33,-1.95
 72,0.20
 33,0.20
 72,-3.03
 33,-3.03
 33,-3.03
 33,-2.95
 33,-2.95
 72,-3.03
 33,-2.95
 33,2.05
 72,2.05
 33,2.05
 72,2.05
 33,-2.57
 72,-2.57
 33,-2.57
 33,-2.57
 72,-2.57
 33,-2.57
 33,-3.03
 33,-3.03
 33,-3.03
 33,-3.03
 33,-3.03
 33,-1.95
 33,-1.95
 33,1.43
 72,1.36
 72,1.43
 33,1.43
 33,-0.88
 33,-0.88
 33,-0.88
 72,1.67
